"CrimeRate","Indus","River","AvgRoom","Age","Tax","PTRatio","LStat","MedPrice"
0.02729,7.07,0,7.185,61,242,17.8,4.03,34.7
0.25356,9.9,0,5.705,78,304,18.4,11.5,16.2
0.03961,5.19,0,6.037,35,224,20.2,8.01,21.1
0.14476,10.01,0,5.731,65,432,17.8,13.61,19.3
0.7857,3.97,0,7.014,85,264,13,14.79,30.7
15.288,18.1,0,6.649,93,666,20.2,23.24,13.9
0.01096,2.25,0,6.453,32,300,15.3,8.23,22
5.58107,18.1,0,6.436,88,666,20.2,16.22,14.3
0.08707,12.83,0,6.14,46,398,18.7,10.27,20.8
1.22358,19.58,0,6.943,97,403,14.7,4.59,41.3
3.67822,18.1,0,5.362,96,666,20.2,10.19,20.8
0.14231,10.01,0,6.254,84,432,17.8,10.45,18.5
16.8118,18.1,0,5.277,98,666,20.2,30.81,7.2
0.0136,4,0,5.888,48,469,21.1,14.8,18.9
3.8497,18.1,1,6.395,91,666,20.2,13.27,21.7
14.3337,18.1,0,6.229,88,666,20.2,13.11,21.4
0.03768,1.52,0,7.274,38,329,12.6,6.62,34.6
5.82115,18.1,0,6.513,90,666,20.2,10.29,20.2
0.07503,2.18,0,7.42,72,222,18.4,6.47,33.4
0.03584,3.37,0,6.29,18,337,16.1,4.67,23.5
0.03502,4.95,0,6.861,28,245,19.2,3.33,28.5
9.72418,18.1,0,6.406,97,666,20.2,19.52,17.1
0.13262,8.56,0,5.851,97,384,20.9,16.47,19.5
0.02055,0.74,0,6.383,36,313,17.3,5.77,24.7
3.53501,19.58,1,6.152,83,403,14.7,15.02,15.6
0.21038,3.33,0,6.812,32,216,14.9,4.85,35.1
0.03578,3.33,0,7.82,65,216,14.9,3.76,45.4
2.44953,19.58,0,6.402,95,403,14.7,11.32,22.3
0.07022,4.05,0,6.02,47,296,16.6,10.11,23.2
0.01538,3.75,0,7.454,34,244,15.9,3.11,44
0.36894,5.86,0,8.259,8,330,19.1,3.54,42.8
0.18836,6.91,0,5.786,33,233,17.9,14.15,20
0.0315,1.47,0,6.975,15,402,17,4.56,34.9
0.0459,5.32,0,6.315,46,293,16.6,7.6,22.3
0.06466,2.24,0,6.345,20,358,14.8,4.97,22.5
10.0623,18.1,0,6.833,94,666,20.2,19.69,14.1
0.1146,6.96,0,6.538,59,223,18.6,7.73,24.4
0.10959,11.93,0,6.794,89,273,21,6.48,22
0.88125,21.89,0,5.637,95,437,21.2,18.34,14.3
0.32982,21.89,0,5.822,95,437,21.2,15.03,18.4
0.54011,3.97,0,7.203,82,264,13,9.59,33.8
19.6091,18.1,0,7.313,98,666,20.2,13.44,15
0.22438,9.69,0,6.027,80,391,19.2,14.33,16.8
0.17331,9.69,0,5.707,54,391,19.2,12.01,21.8
0.26938,9.9,0,6.266,83,304,18.4,7.9,21.6
0.44178,6.2,0,6.552,21,307,17.4,3.76,31.5
9.32909,18.1,0,6.185,99,666,20.2,18.13,14.1
0.06211,1.25,0,6.49,44,335,19.7,5.98,22.9
0.19133,5.86,0,5.605,70,330,19.1,18.46,18.5
5.82401,18.1,0,6.242,65,666,20.2,10.74,23
0.21409,5.86,0,6.438,9,330,19.1,3.59,24.8
0.17142,6.91,0,5.682,34,233,17.9,10.21,19.3
4.42228,18.1,0,6.003,95,666,20.2,21.32,19.1
0.05372,13.92,0,6.549,51,289,16,7.39,27.1
0.14103,13.92,0,5.79,58,289,16,15.84,20.3
1.62864,21.89,0,5.019,100,437,21.2,34.41,14.4
0.03466,6.06,0,6.031,23,304,16.9,7.83,19.4
0.04337,5.64,0,6.115,63,243,16.8,9.43,20.5
0.0351,2.68,0,7.853,33,224,14.7,3.81,48.5
0.05789,6.07,0,5.878,21,345,18.9,8.1,22
0.17783,9.69,0,5.569,74,391,19.2,15.1,17.5
0.06911,3.44,0,6.739,31,398,15.2,4.69,30.5
0.16439,5.86,0,6.433,49,330,19.1,9.52,24.5
0.12579,3.44,0,6.556,29,398,15.2,4.56,29.8
0.35114,7.38,0,6.041,50,287,19.6,7.7,20.4
0.08447,4.05,0,5.859,69,296,16.6,9.64,22.6
0.09299,25.65,0,5.961,93,188,19.1,17.93,20.5
0.02498,1.89,0,6.54,60,422,15.9,8.65,16.5
0.10008,2.46,0,6.563,96,193,17.8,5.68,32.5
0.14932,5.13,0,5.741,66,284,19.7,13.15,18.7
0.06127,6.41,1,6.826,28,254,17.6,4.16,33.1
51.1358,18.1,0,5.757,100,666,20.2,10.11,15
0.05425,4.05,0,6.315,73,296,16.6,6.29,24.6
0.40202,9.9,0,6.382,67,304,18.4,10.36,23.1
3.67367,18.1,0,6.312,52,666,20.2,10.58,21.2
0.05515,2.18,0,7.236,41,222,18.4,6.93,36.1
6.28807,18.1,0,6.341,96,666,20.2,17.79,14.9
0.02763,2.95,0,6.595,22,252,18.3,4.32,30.8
1.19294,21.89,0,6.326,98,437,21.2,12.26,19.6
0.29916,6.96,0,5.856,42,223,18.6,13,21.1
0.12757,4.93,0,6.393,8,300,16.6,5.19,23.7
6.80117,18.1,0,6.081,84,666,20.2,14.7,20
0.12744,6.91,0,6.77,3,233,17.9,4.84,26.6
0.04011,1.52,0,7.287,34,329,12.6,4.08,33.3
88.9762,18.1,0,6.968,92,666,20.2,17.21,10.4
8.49213,18.1,0,6.348,86,666,20.2,17.64,14.5
0.04666,1.52,0,7.107,37,329,12.6,8.61,30.3
4.83567,18.1,0,5.905,53,666,20.2,11.45,20.6
2.77974,19.58,0,4.903,98,403,14.7,29.29,11.8
22.5971,18.1,0,5,90,666,20.2,31.99,7.4
6.71772,18.1,0,6.749,93,666,20.2,17.44,13.4
0.26363,8.56,0,6.229,91,384,20.9,15.55,19.4
0.07978,6.41,0,6.482,32,254,17.6,7.19,29.1
10.8342,18.1,0,6.782,91,666,20.2,25.79,7.5
0.84054,8.14,0,5.599,86,307,21,16.51,13.9
0.26169,9.9,0,6.023,90,304,18.4,11.72,19.4
3.83684,18.1,0,6.251,91,666,20.2,14.19,19.9
14.3337,18.1,0,4.88,100,666,20.2,30.62,10.2
25.0461,18.1,0,5.987,100,666,20.2,26.77,5.6
0.1029,4.93,0,6.358,53,300,16.6,11.22,22.2
0.09252,4.93,0,6.606,42,300,16.6,7.37,23.3
0.537,6.2,0,5.981,68,307,17.4,11.65,24.3
0.19186,7.38,0,6.431,15,287,19.6,5.08,24.6
0.19657,5.86,0,6.226,79,330,19.1,10.15,20.5
0.08387,12.83,0,5.874,37,398,18.7,9.1,20.3
0.05188,4.49,0,6.015,45,247,18.5,12.86,22.5
7.99248,18.1,0,5.52,100,666,20.2,24.56,12.3
0.31827,9.9,0,5.914,83,304,18.4,18.33,17.8
0.09164,10.81,0,6.065,8,305,19.2,5.52,22.8
0.12816,6.07,0,5.885,33,345,18.9,8.79,20.9
0.0837,3.44,0,7.185,39,398,15.2,5.39,34.9
1.13081,8.14,0,5.713,94,307,21,22.6,12.7
0.05644,6.41,1,6.758,33,254,17.6,3.53,32.4
0.12204,2.89,0,6.625,58,276,18,6.65,28.4
0.61154,3.97,0,8.704,87,264,13,5.12,50
0.17899,9.69,0,5.67,29,391,19.2,17.6,23.1
15.0234,18.1,0,5.304,97,666,20.2,24.91,12
0.11425,13.89,1,6.373,92,276,16.4,10.5,23
4.26131,18.1,0,6.112,81,666,20.2,12.67,22.6
0.03041,5.19,0,5.895,60,224,20.2,10.56,18.5
0.02543,3.78,0,6.696,56,370,17.6,7.18,23.9
0.31533,6.2,0,8.266,78,307,17.4,4.14,44.8
0.14052,10.59,0,6.375,32,277,18.6,9.38,28.1
0.06888,2.46,0,6.144,62,193,17.8,9.45,36.2
0.17171,5.13,0,5.966,93,284,19.7,14.44,16
0.24103,7.38,0,6.083,44,287,19.6,12.79,22.2
0.09266,6.09,0,6.495,18,329,16.1,8.67,26.4
2.14918,19.58,0,5.709,99,403,14.7,15.79,19.4
1.35472,8.14,0,6.072,100,307,21,13.04,14.5
0.04981,5.64,0,5.998,21,243,16.8,8.43,23.4
9.39063,18.1,0,5.627,94,666,20.2,22.88,12.8
23.6482,18.1,0,6.38,96,666,20.2,23.69,13.1
0.04741,11.93,0,6.03,81,273,21,7.88,11.9
3.69311,18.1,0,6.376,88,666,20.2,14.65,17.7
8.71675,18.1,0,6.471,99,666,20.2,17.12,13.1
0.43571,10.59,1,5.344,100,277,18.6,23.09,20
5.70818,18.1,0,6.75,75,666,20.2,7.74,23.7
1.6566,19.58,0,6.122,97,403,14.7,14.1,21.5
0.10084,10.01,0,6.715,82,432,17.8,10.16,22.8
0.04417,2.24,0,6.871,47,358,14.8,6.07,24.8
0.14866,8.56,0,6.727,80,384,20.9,9.42,27.5
0.35233,21.89,0,6.454,98,437,21.2,14.59,17.1
0.01432,1.32,0,6.816,41,256,15.1,3.95,31.6
0.57529,6.2,0,8.337,73,307,17.4,2.47,41.7
0.07165,25.65,0,6.004,84,188,19.1,14.27,20.3
0.22969,10.59,0,6.326,53,277,18.6,10.97,24.4
3.1636,18.1,0,5.759,48,666,20.2,14.13,19.9
1.41385,19.58,1,6.129,96,403,14.7,15.12,17
0.11329,4.93,0,6.897,54,300,16.6,11.38,22
4.81213,18.1,0,6.701,90,666,20.2,16.42,16.4
